Model,Parameters,Size_MB,Training_Time_min,R²,MAE,RMSE,Final_Val_Loss
baseline,2658,0.01013946533203125,0.43383201758066814,0.9982189536094666,16.344921112060547,24.743852564750174,-2.357586622238159
ultra_simple_lstm,710018,2.7085037231445312,9.548239147663116,0.9988362193107605,15.350316047668457,20.00176841547001,-2.834036212218435
ultra_basic_resnet,544386,2.0766677856445312,2.801809215545654,0.8920132517814636,134.96221923828125,192.66987228806687,1.4762046713578074
ultra_no_transformer,1682405,6.417865753173828,34.160553844769794,0.9992175698280334,10.893170356750488,16.400528206111325,-3.1284190730044714
ultra_no_attention,2489730,9.497566223144531,56.80806883573532,0.9993780255317688,10.823686599731445,14.622036103748886,-2.8514244681910466
ultra_no_fpn,2261605,8.627338409423828,45.43617540597916,0.9966837763786316,23.346553802490234,33.763755877234686,-2.184339629976373
ultra_no_wavelet,2393445,9.130268096923828,61.450803625583646,0.9931900501251221,31.39275360107422,48.38390936609892,-2.5602921435707495
ultra_original,2508261,9.568256378173828,26.588127179940543,0.9963060021400452,26.280479431152344,35.63514623880387,-1.3342436928498118
