depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.251889e-08,4.737263e+01,-5.001827e-08,5.234351e+01,-8.466423e-08,5.052080e+01,5.730000e+02
-9.500000e-01,-3.474272e-08,4.737263e+01,-5.347505e-08,5.234351e+01,-9.083762e-08,5.052080e+01,5.730000e+02
-9.000000e-01,-3.882309e-08,4.737263e+01,-5.977653e-08,5.234351e+01,-1.019785e-07,5.052080e+01,5.730000e+02
-8.500000e-01,-4.679200e-08,4.737263e+01,-7.198808e-08,5.234351e+01,-1.233118e-07,5.052080e+01,5.730000e+02
-8.000000e-01,-6.356924e-08,4.737263e+01,-9.745770e-08,5.234351e+01,-1.671720e-07,5.052080e+01,5.730000e+02
-7.500000e-01,-1.022650e-07,4.737263e+01,-1.555331e-07,5.234351e+01,-2.654428e-07,5.052080e+01,5.730000e+02
-7.000000e-01,-2.020307e-07,4.737263e+01,-3.031581e-07,5.234351e+01,-5.098636e-07,5.052080e+01,5.730000e+02
-6.500000e-01,-4.965134e-07,4.737263e+01,-7.312995e-07,5.234351e+01,-1.199507e-06,5.052080e+01,5.730000e+02
-6.000000e-01,-1.515985e-06,4.737263e+01,-2.181585e-06,5.234351e+01,-3.454727e-06,5.052080e+01,5.730000e+02
-5.500000e-01,-5.691757e-06,4.737263e+01,-7.968725e-06,5.234351e+01,-1.204603e-05,5.052080e+01,5.730000e+02
-5.000000e-01,-2.292965e-05,4.737263e+01,-3.065688e-05,5.234351e+01,-4.185198e-05,5.052080e+01,5.730000e+02
-4.500000e-01,-4.618005e-05,4.737263e+01,-5.998539e-05,5.234351e+01,-7.028702e-05,5.052080e+01,5.730000e+02
-4.000000e-01,-5.441354e-05,4.737263e+01,-7.536538e-05,5.234351e+01,-9.371883e-05,5.052080e+01,5.730000e+02
-3.500000e-01,-5.632120e-05,4.737263e+01,-7.918548e-05,5.234351e+01,-1.038344e-04,5.052080e+01,5.730000e+02
-3.000000e-01,-5.683123e-05,4.737263e+01,-8.019151e-05,5.234351e+01,-1.065412e-04,5.052080e+01,5.730000e+02
-2.500000e-01,-5.699222e-05,4.737263e+01,-8.050289e-05,5.234351e+01,-1.073571e-04,5.052080e+01,5.730000e+02
-2.000000e-01,-5.705094e-05,4.737263e+01,-8.061445e-05,5.234351e+01,-1.076408e-04,5.052080e+01,5.730000e+02
-1.500000e-01,-5.707497e-05,4.737263e+01,-8.065948e-05,5.234351e+01,-1.077523e-04,5.052080e+01,5.730000e+02
-1.000000e-01,-5.708561e-05,4.737263e+01,-8.067923e-05,5.234351e+01,-1.078004e-04,5.052080e+01,5.730000e+02
-5.000000e-02,-5.709035e-05,4.737263e+01,-8.068809e-05,5.234351e+01,-1.078219e-04,5.052080e+01,5.730000e+02
0.000000e+00,-5.709199e-05,4.737263e+01,-8.069138e-05,5.234351e+01,-1.078306e-04,5.052080e+01,5.730000e+02
5.000000e-02,-5.709141e-05,4.737263e+01,-8.069086e-05,5.234351e+01,-1.078312e-04,5.052080e+01,5.730000e+02
