depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.138111e-08,4.737263e+01,-4.822599e-08,5.234351e+01,-8.139556e-08,5.052080e+01,8.430000e+02
-9.500000e-01,-3.289264e-08,4.737263e+01,-5.057555e-08,5.234351e+01,-8.559160e-08,5.052080e+01,8.430000e+02
-9.000000e-01,-3.566605e-08,4.737263e+01,-5.485865e-08,5.234351e+01,-9.316402e-08,5.052080e+01,8.430000e+02
-8.500000e-01,-4.108250e-08,4.737263e+01,-6.315880e-08,5.234351e+01,-1.076642e-07,5.052080e+01,8.430000e+02
-8.000000e-01,-5.248593e-08,4.737263e+01,-8.047043e-08,5.234351e+01,-1.374759e-07,5.052080e+01,8.430000e+02
-7.500000e-01,-7.878733e-08,4.737263e+01,-1.199441e-07,5.234351e+01,-2.042702e-07,5.052080e+01,8.430000e+02
-7.000000e-01,-1.465977e-07,4.737263e+01,-2.202843e-07,5.234351e+01,-3.704022e-07,5.052080e+01,8.430000e+02
-6.500000e-01,-3.467567e-07,4.737263e+01,-5.112907e-07,5.234351e+01,-8.391505e-07,5.052080e+01,8.430000e+02
-6.000000e-01,-1.039689e-06,4.737263e+01,-1.497046e-06,5.234351e+01,-2.372017e-06,5.052080e+01,8.430000e+02
-5.500000e-01,-3.877948e-06,4.737263e+01,-5.430546e-06,5.234351e+01,-8.211502e-06,5.052080e+01,8.430000e+02
-5.000000e-01,-1.559449e-05,4.737263e+01,-2.085162e-05,5.234351e+01,-2.847051e-05,5.052080e+01,8.430000e+02
-4.500000e-01,-3.139772e-05,4.737263e+01,-4.078612e-05,5.234351e+01,-4.779772e-05,5.052080e+01,8.430000e+02
-4.000000e-01,-3.699400e-05,4.737263e+01,-5.123985e-05,5.234351e+01,-6.372426e-05,5.052080e+01,8.430000e+02
-3.500000e-01,-3.829063e-05,4.737263e+01,-5.383636e-05,5.234351e+01,-7.059979e-05,5.052080e+01,8.430000e+02
-3.000000e-01,-3.863729e-05,4.737263e+01,-5.452016e-05,5.234351e+01,-7.243956e-05,5.052080e+01,8.430000e+02
-2.500000e-01,-3.874672e-05,4.737263e+01,-5.473180e-05,5.234351e+01,-7.299415e-05,5.052080e+01,8.430000e+02
-2.000000e-01,-3.878663e-05,4.737263e+01,-5.480763e-05,5.234351e+01,-7.318695e-05,5.052080e+01,8.430000e+02
-1.500000e-01,-3.880296e-05,4.737263e+01,-5.483823e-05,5.234351e+01,-7.326275e-05,5.052080e+01,8.430000e+02
-1.000000e-01,-3.881019e-05,4.737263e+01,-5.485166e-05,5.234351e+01,-7.329543e-05,5.052080e+01,8.430000e+02
-5.000000e-02,-3.881341e-05,4.737263e+01,-5.485767e-05,5.234351e+01,-7.331009e-05,5.052080e+01,8.430000e+02
0.000000e+00,-3.881453e-05,4.737263e+01,-5.485991e-05,5.234351e+01,-7.331600e-05,5.052080e+01,8.430000e+02
5.000000e-02,-3.881413e-05,4.737263e+01,-5.485956e-05,5.234351e+01,-7.331639e-05,5.052080e+01,8.430000e+02
1.000000e-01,-3.881201e-05,4.737263e+01,-5.485645e-05,5.234351e+01,-7.331146e-05,5.052080e+01,8.430000e+02
1.500000e-01,-3.880700e-05,4.737263e+01,-5.484886e-05,5.234351e+01,-7.329856e-05,5.052080e+01,8.430000e+02
2.000000e-01,-3.879585e-05,4.737263e+01,-5.483199e-05,5.234351e+01,-7.326974e-05,5.052080e+01,8.430000e+02
2.500000e-01,-3.876971e-05,4.737263e+01,-5.479281e-05,5.234351e+01,-7.320359e-05,5.052080e+01,8.430000e+02
3.000000e-01,-3.870200e-05,4.737263e+01,-5.469266e-05,5.234351e+01,-7.303787e-05,5.052080e+01,8.430000e+02
3.500000e-01,-3.850192e-05,4.737263e+01,-5.440177e-05,5.234351e+01,-7.256939e-05,5.052080e+01,8.430000e+02
4.000000e-01,-3.780903e-05,4.737263e+01,-5.341610e-05,5.234351e+01,-7.103670e-05,5.052080e+01,8.430000e+02
4.500000e-01,-3.497079e-05,4.737263e+01,-4.948264e-05,5.234351e+01,-6.519732e-05,5.052080e+01,8.430000e+02
5.000000e-01,-2.325426e-05,4.737263e+01,-3.406159e-05,5.234351e+01,-4.493836e-05,5.052080e+01,8.430000e+02
5.500000e-01,-7.451028e-06,4.737263e+01,-1.412709e-05,5.234351e+01,-2.561116e-05,5.052080e+01,8.430000e+02
6.000000e-01,-1.854732e-06,4.737263e+01,-3.673332e-06,5.234351e+01,-9.684580e-06,5.052080e+01,8.430000e+02
6.500000e-01,-5.580693e-07,4.737263e+01,-1.076765e-06,5.234351e+01,-2.808948e-06,5.052080e+01,8.430000e+02
7.000000e-01,-2.113447e-07,4.737263e+01,-3.928773e-07,5.234351e+01,-9.690185e-07,5.052080e+01,8.430000e+02
7.500000e-01,-1.018351e-07,4.737263e+01,-1.810988e-07,5.234351e+01,-4.141722e-07,5.052080e+01,8.430000e+02
8.000000e-01,-6.178947e-08,4.737263e+01,-1.050556e-07,5.234351e+01,-2.209781e-07,5.052080e+01,8.430000e+02
8.500000e-01,-4.524741e-08,4.737263e+01,-7.412827e-08,5.234351e+01,-1.445887e-07,5.052080e+01,8.430000e+02
9.000000e-01,-3.769607e-08,4.737263e+01,-6.019122e-08,5.234351e+01,-1.109843e-07,5.052080e+01,8.430000e+02
9.500000e-01,-3.395421e-08,4.737263e+01,-5.335839e-08,5.234351e+01,-9.483773e-08,5.052080e+01,8.430000e+02
1.000000e+00,-3.196983e-08,4.737263e+01,-4.976675e-08,5.234351e+01,-8.649146e-08,5.052080e+01,8.430000e+02
