depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.163079e-08,4.737263e+01,-4.861929e-08,5.234351e+01,-8.211285e-08,5.052080e+01,7.640000e+02
-9.500000e-01,-3.329863e-08,4.737263e+01,-5.121183e-08,5.234351e+01,-8.674281e-08,5.052080e+01,7.640000e+02
-9.000000e-01,-3.635884e-08,4.737263e+01,-5.593785e-08,5.234351e+01,-9.509830e-08,5.052080e+01,7.640000e+02
-8.500000e-01,-4.233542e-08,4.737263e+01,-6.509634e-08,5.234351e+01,-1.110980e-07,5.052080e+01,7.640000e+02
-8.000000e-01,-5.491810e-08,4.737263e+01,-8.419819e-08,5.234351e+01,-1.439925e-07,5.052080e+01,7.640000e+02
-7.500000e-01,-8.393938e-08,4.737263e+01,-1.277539e-07,5.234351e+01,-2.176942e-07,5.052080e+01,7.640000e+02
-7.000000e-01,-1.587622e-07,4.737263e+01,-2.384705e-07,5.234351e+01,-4.010063e-07,5.052080e+01,7.640000e+02
-6.500000e-01,-3.796200e-07,4.737263e+01,-5.595704e-07,5.234351e+01,-9.182286e-07,5.052080e+01,7.640000e+02
-6.000000e-01,-1.144209e-06,4.737263e+01,-1.647264e-06,5.234351e+01,-2.609611e-06,5.052080e+01,7.640000e+02
-5.500000e-01,-4.275978e-06,4.737263e+01,-5.987536e-06,5.234351e+01,-9.052969e-06,5.052080e+01,7.640000e+02
-5.000000e-01,-1.720415e-05,4.737263e+01,-2.300333e-05,5.234351e+01,-3.140700e-05,5.052080e+01,7.640000e+02
-4.500000e-01,-3.464162e-05,4.737263e+01,-4.499929e-05,5.234351e+01,-5.273287e-05,5.052080e+01,7.640000e+02
-4.000000e-01,-4.081662e-05,4.737263e+01,-5.653406e-05,5.234351e+01,-7.030640e-05,5.052080e+01,7.640000e+02
-3.500000e-01,-4.224734e-05,4.737263e+01,-5.939908e-05,5.234351e+01,-7.789295e-05,5.052080e+01,7.640000e+02
-3.000000e-01,-4.262985e-05,4.737263e+01,-6.015359e-05,5.234351e+01,-7.992297e-05,5.052080e+01,7.640000e+02
-2.500000e-01,-4.275059e-05,4.737263e+01,-6.038712e-05,5.234351e+01,-8.053491e-05,5.052080e+01,7.640000e+02
-2.000000e-01,-4.279463e-05,4.737263e+01,-6.047079e-05,5.234351e+01,-8.074765e-05,5.052080e+01,7.640000e+02
-1.500000e-01,-4.281265e-05,4.737263e+01,-6.050456e-05,5.234351e+01,-8.083128e-05,5.052080e+01,7.640000e+02
-1.000000e-01,-4.282063e-05,4.737263e+01,-6.051938e-05,5.234351e+01,-8.086734e-05,5.052080e+01,7.640000e+02
-5.000000e-02,-4.282419e-05,4.737263e+01,-6.052601e-05,5.234351e+01,-8.088353e-05,5.052080e+01,7.640000e+02
0.000000e+00,-4.282542e-05,4.737263e+01,-6.052848e-05,5.234351e+01,-8.089004e-05,5.052080e+01,7.640000e+02
5.000000e-02,-4.282498e-05,4.737263e+01,-6.052810e-05,5.234351e+01,-8.089047e-05,5.052080e+01,7.640000e+02
1.000000e-01,-4.282264e-05,4.737263e+01,-6.052466e-05,5.234351e+01,-8.088504e-05,5.052080e+01,7.640000e+02
1.500000e-01,-4.281711e-05,4.737263e+01,-6.051629e-05,5.234351e+01,-8.087080e-05,5.052080e+01,7.640000e+02
2.000000e-01,-4.280480e-05,4.737263e+01,-6.049768e-05,5.234351e+01,-8.083900e-05,5.052080e+01,7.640000e+02
2.500000e-01,-4.277596e-05,4.737263e+01,-6.045444e-05,5.234351e+01,-8.076600e-05,5.052080e+01,7.640000e+02
3.000000e-01,-4.270126e-05,4.737263e+01,-6.034393e-05,5.234351e+01,-8.058315e-05,5.052080e+01,7.640000e+02
3.500000e-01,-4.248047e-05,4.737263e+01,-6.002297e-05,5.234351e+01,-8.006623e-05,5.052080e+01,7.640000e+02
4.000000e-01,-4.171593e-05,4.737263e+01,-5.893536e-05,5.234351e+01,-7.837504e-05,5.052080e+01,7.640000e+02
4.500000e-01,-3.858419e-05,4.737263e+01,-5.459514e-05,5.234351e+01,-7.193180e-05,5.052080e+01,7.640000e+02
5.000000e-01,-2.565603e-05,4.737263e+01,-3.757937e-05,5.234351e+01,-4.957782e-05,5.052080e+01,7.640000e+02
5.500000e-01,-8.218557e-06,4.737263e+01,-1.558340e-05,5.234351e+01,-2.825196e-05,5.052080e+01,7.640000e+02
6.000000e-01,-2.043538e-06,4.737263e+01,-4.048605e-06,5.234351e+01,-1.067838e-05,5.052080e+01,7.640000e+02
