depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-2.999142e-08,4.737263e+01,-4.603689e-08,5.234351e+01,-7.740322e-08,5.052080e+01,1.986000e+03
-9.500000e-01,-3.063294e-08,4.737263e+01,-4.703410e-08,5.234351e+01,-7.918411e-08,5.052080e+01,1.986000e+03
-9.000000e-01,-3.181004e-08,4.737263e+01,-4.885195e-08,5.234351e+01,-8.239802e-08,5.052080e+01,1.986000e+03
-8.500000e-01,-3.410891e-08,4.737263e+01,-5.237472e-08,5.234351e+01,-8.855223e-08,5.052080e+01,1.986000e+03
-8.000000e-01,-3.894878e-08,4.737263e+01,-5.972217e-08,5.234351e+01,-1.012050e-07,5.052080e+01,1.986000e+03
-7.500000e-01,-5.011170e-08,4.737263e+01,-7.647568e-08,5.234351e+01,-1.295540e-07,5.052080e+01,1.986000e+03
-7.000000e-01,-7.889198e-08,4.737263e+01,-1.190624e-07,5.234351e+01,-2.000642e-07,5.052080e+01,1.986000e+03
-6.500000e-01,-1.638440e-07,4.737263e+01,-2.425721e-07,5.234351e+01,-3.990117e-07,5.052080e+01,1.986000e+03
-6.000000e-01,-4.579402e-07,4.737263e+01,-6.609490e-07,5.234351e+01,-1.049595e-06,5.052080e+01,1.986000e+03
-5.500000e-01,-1.662562e-06,4.737263e+01,-2.330416e-06,5.234351e+01,-3.528006e-06,5.052080e+01,1.986000e+03
-5.000000e-01,-6.635328e-06,4.737263e+01,-8.875470e-06,5.234351e+01,-1.212639e-05,5.052080e+01,1.986000e+03
-4.500000e-01,-1.334258e-05,4.737263e+01,-1.733613e-05,5.234351e+01,-2.032930e-05,5.052080e+01,1.986000e+03
-4.000000e-01,-1.571777e-05,4.737263e+01,-2.177293e-05,5.234351e+01,-2.708888e-05,5.052080e+01,1.986000e+03
-3.500000e-01,-1.626809e-05,4.737263e+01,-2.287495e-05,5.234351e+01,-3.000702e-05,5.052080e+01,1.986000e+03
-3.000000e-01,-1.641522e-05,4.737263e+01,-2.316516e-05,5.234351e+01,-3.078786e-05,5.052080e+01,1.986000e+03
