depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.192941e-08,4.737263e+01,-4.908969e-08,5.234351e+01,-8.297074e-08,5.052080e+01,6.870000e+02
-9.500000e-01,-3.378420e-08,4.737263e+01,-5.197283e-08,5.234351e+01,-8.811967e-08,5.052080e+01,6.870000e+02
-9.000000e-01,-3.718743e-08,4.737263e+01,-5.722858e-08,5.234351e+01,-9.741173e-08,5.052080e+01,6.870000e+02
-8.500000e-01,-4.383392e-08,4.737263e+01,-6.741365e-08,5.234351e+01,-1.152048e-07,5.052080e+01,6.870000e+02
-8.000000e-01,-5.782700e-08,4.737263e+01,-8.865663e-08,5.234351e+01,-1.517865e-07,5.052080e+01,6.870000e+02
-7.500000e-01,-9.010128e-08,4.737263e+01,-1.370945e-07,5.234351e+01,-2.337494e-07,5.052080e+01,6.870000e+02
-7.000000e-01,-1.733110e-07,4.737263e+01,-2.602214e-07,5.234351e+01,-4.376089e-07,5.052080e+01,6.870000e+02
-6.500000e-01,-4.189247e-07,4.737263e+01,-6.173134e-07,5.234351e+01,-1.012807e-06,5.052080e+01,6.870000e+02
-6.000000e-01,-1.269217e-06,4.737263e+01,-1.826927e-06,5.234351e+01,-2.893777e-06,5.052080e+01,6.870000e+02
-5.500000e-01,-4.752026e-06,4.737263e+01,-6.653700e-06,5.234351e+01,-1.005937e-05,5.052080e+01,6.870000e+02
-5.000000e-01,-1.912931e-05,4.737263e+01,-2.557679e-05,5.234351e+01,-3.491907e-05,5.052080e+01,6.870000e+02
-4.500000e-01,-3.852136e-05,4.737263e+01,-5.003828e-05,5.234351e+01,-5.863536e-05,5.052080e+01,6.870000e+02
-4.000000e-01,-4.538851e-05,4.737263e+01,-6.286599e-05,5.234351e+01,-7.817870e-05,5.052080e+01,6.870000e+02
-3.500000e-01,-4.697960e-05,4.737263e+01,-6.605215e-05,5.234351e+01,-8.661563e-05,5.052080e+01,6.870000e+02
-3.000000e-01,-4.740499e-05,4.737263e+01,-6.689124e-05,5.234351e+01,-8.887319e-05,5.052080e+01,6.870000e+02
-2.500000e-01,-4.753926e-05,4.737263e+01,-6.715094e-05,5.234351e+01,-8.955373e-05,5.052080e+01,6.870000e+02
-2.000000e-01,-4.758823e-05,4.737263e+01,-6.724399e-05,5.234351e+01,-8.979032e-05,5.052080e+01,6.870000e+02
-1.500000e-01,-4.760828e-05,4.737263e+01,-6.728154e-05,5.234351e+01,-8.988332e-05,5.052080e+01,6.870000e+02
-1.000000e-01,-4.761715e-05,4.737263e+01,-6.729802e-05,5.234351e+01,-8.992342e-05,5.052080e+01,6.870000e+02
-5.000000e-02,-4.762110e-05,4.737263e+01,-6.730540e-05,5.234351e+01,-8.994142e-05,5.052080e+01,6.870000e+02
0.000000e+00,-4.762248e-05,4.737263e+01,-6.730814e-05,5.234351e+01,-8.994867e-05,5.052080e+01,6.870000e+02
5.000000e-02,-4.762199e-05,4.737263e+01,-6.730772e-05,5.234351e+01,-8.994914e-05,5.052080e+01,6.870000e+02
1.000000e-01,-4.761939e-05,4.737263e+01,-6.730390e-05,5.234351e+01,-8.994310e-05,5.052080e+01,6.870000e+02
1.500000e-01,-4.761323e-05,4.737263e+01,-6.729458e-05,5.234351e+01,-8.992727e-05,5.052080e+01,6.870000e+02
2.000000e-01,-4.759955e-05,4.737263e+01,-6.727389e-05,5.234351e+01,-8.989191e-05,5.052080e+01,6.870000e+02
2.500000e-01,-4.756747e-05,4.737263e+01,-6.722580e-05,5.234351e+01,-8.981073e-05,5.052080e+01,6.870000e+02
3.000000e-01,-4.748440e-05,4.737263e+01,-6.710291e-05,5.234351e+01,-8.960738e-05,5.052080e+01,6.870000e+02
3.500000e-01,-4.723887e-05,4.737263e+01,-6.674597e-05,5.234351e+01,-8.903251e-05,5.052080e+01,6.870000e+02
4.000000e-01,-4.638863e-05,4.737263e+01,-6.553645e-05,5.234351e+01,-8.715176e-05,5.052080e+01,6.870000e+02
4.500000e-01,-4.290585e-05,4.737263e+01,-6.070973e-05,5.234351e+01,-7.998629e-05,5.052080e+01,6.870000e+02
5.000000e-01,-2.852857e-05,4.737263e+01,-4.178667e-05,5.234351e+01,-5.512666e-05,5.052080e+01,6.870000e+02
5.500000e-01,-9.136529e-06,4.737263e+01,-1.732517e-05,5.234351e+01,-3.141037e-05,5.052080e+01,6.870000e+02
6.000000e-01,-2.269352e-06,4.737263e+01,-4.497434e-06,5.234351e+01,-1.186697e-05,5.052080e+01,6.870000e+02
6.500000e-01,-6.782250e-07,4.737263e+01,-1.311203e-06,5.234351e+01,-3.429932e-06,5.052080e+01,6.870000e+02
7.000000e-01,-2.527615e-07,4.737263e+01,-4.720091e-07,5.234351e+01,-1.172167e-06,5.052080e+01,6.870000e+02
7.500000e-01,-1.183830e-07,4.737263e+01,-2.121370e-07,5.234351e+01,-4.913188e-07,5.052080e+01,6.870000e+02
8.000000e-01,-6.924331e-08,4.737263e+01,-1.188249e-07,5.234351e+01,-2.542516e-07,5.052080e+01,6.870000e+02
8.500000e-01,-4.894465e-08,4.737263e+01,-8.087421e-08,5.234351e+01,-1.605146e-07,5.052080e+01,6.870000e+02
9.000000e-01,-3.967845e-08,4.737263e+01,-6.377215e-08,5.234351e+01,-1.192789e-07,5.052080e+01,6.870000e+02
9.500000e-01,-3.508684e-08,4.737263e+01,-5.538762e-08,5.234351e+01,-9.946554e-08,5.052080e+01,6.870000e+02
1.000000e+00,-3.265182e-08,4.737263e+01,-5.098035e-08,5.234351e+01,-8.922388e-08,5.052080e+01,6.870000e+02
