depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.118383e-08,4.737263e+01,-4.791523e-08,5.234351e+01,-8.082883e-08,5.052080e+01,9.180000e+02
-9.500000e-01,-3.257186e-08,4.737263e+01,-5.007283e-08,5.234351e+01,-8.468202e-08,5.052080e+01,9.180000e+02
-9.000000e-01,-3.511867e-08,4.737263e+01,-5.400596e-08,5.234351e+01,-9.163573e-08,5.052080e+01,9.180000e+02
-8.500000e-01,-4.009256e-08,4.737263e+01,-6.162795e-08,5.234351e+01,-1.049512e-07,5.052080e+01,9.180000e+02
-8.000000e-01,-5.056426e-08,4.737263e+01,-7.752510e-08,5.234351e+01,-1.323270e-07,5.052080e+01,9.180000e+02
-7.500000e-01,-7.471668e-08,4.737263e+01,-1.137735e-07,5.234351e+01,-1.936638e-07,5.052080e+01,9.180000e+02
-7.000000e-01,-1.369865e-07,4.737263e+01,-2.059154e-07,5.234351e+01,-3.462219e-07,5.052080e+01,9.180000e+02
-6.500000e-01,-3.207913e-07,4.737263e+01,-4.731447e-07,5.234351e+01,-7.766704e-07,5.052080e+01,9.180000e+02
-6.000000e-01,-9.571065e-07,4.737263e+01,-1.378357e-06,5.234351e+01,-2.184292e-06,5.052080e+01,9.180000e+02
-5.500000e-01,-3.563462e-06,4.737263e+01,-4.990467e-06,5.234351e+01,-7.546655e-06,5.052080e+01,9.180000e+02
-5.000000e-01,-1.432269e-05,4.737263e+01,-1.915154e-05,5.234351e+01,-2.615038e-05,5.052080e+01,9.180000e+02
-4.500000e-01,-2.883470e-05,4.737263e+01,-3.745727e-05,5.234351e+01,-4.389843e-05,5.052080e+01,9.180000e+02
-4.000000e-01,-3.397372e-05,4.737263e+01,-4.705686e-05,5.234351e+01,-5.852367e-05,5.052080e+01,9.180000e+02
-3.500000e-01,-3.516441e-05,4.737263e+01,-4.944122e-05,5.234351e+01,-6.483743e-05,5.052080e+01,9.180000e+02
-3.000000e-01,-3.548275e-05,4.737263e+01,-5.006915e-05,5.234351e+01,-6.652688e-05,5.052080e+01,9.180000e+02
-2.500000e-01,-3.558323e-05,4.737263e+01,-5.026350e-05,5.234351e+01,-6.703616e-05,5.052080e+01,9.180000e+02
-2.000000e-01,-3.561988e-05,4.737263e+01,-5.033313e-05,5.234351e+01,-6.721321e-05,5.052080e+01,9.180000e+02
-1.500000e-01,-3.563489e-05,4.737263e+01,-5.036123e-05,5.234351e+01,-6.728281e-05,5.052080e+01,9.180000e+02
-1.000000e-01,-3.564152e-05,4.737263e+01,-5.037356e-05,5.234351e+01,-6.731282e-05,5.052080e+01,9.180000e+02
-5.000000e-02,-3.564448e-05,4.737263e+01,-5.037909e-05,5.234351e+01,-6.732628e-05,5.052080e+01,9.180000e+02
0.000000e+00,-3.564551e-05,4.737263e+01,-5.038114e-05,5.234351e+01,-6.733171e-05,5.052080e+01,9.180000e+02
5.000000e-02,-3.564514e-05,4.737263e+01,-5.038082e-05,5.234351e+01,-6.733206e-05,5.052080e+01,9.180000e+02
1.000000e-01,-3.564320e-05,4.737263e+01,-5.037796e-05,5.234351e+01,-6.732754e-05,5.052080e+01,9.180000e+02
1.500000e-01,-3.563859e-05,4.737263e+01,-5.037099e-05,5.234351e+01,-6.731569e-05,5.052080e+01,9.180000e+02
2.000000e-01,-3.562835e-05,4.737263e+01,-5.035551e-05,5.234351e+01,-6.728923e-05,5.052080e+01,9.180000e+02
2.500000e-01,-3.560435e-05,4.737263e+01,-5.031952e-05,5.234351e+01,-6.722848e-05,5.052080e+01,9.180000e+02
3.000000e-01,-3.554218e-05,4.737263e+01,-5.022755e-05,5.234351e+01,-6.707630e-05,5.052080e+01,9.180000e+02
