depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.042564e-08,4.737263e+01,-4.672090e-08,5.234351e+01,-7.865067e-08,5.052080e+01,1.395000e+03
-9.500000e-01,-3.133901e-08,4.737263e+01,-4.814067e-08,5.234351e+01,-8.118620e-08,5.052080e+01,1.395000e+03
-9.000000e-01,-3.301489e-08,4.737263e+01,-5.072880e-08,5.234351e+01,-8.576196e-08,5.052080e+01,1.395000e+03
-8.500000e-01,-3.628787e-08,4.737263e+01,-5.574432e-08,5.234351e+01,-9.452396e-08,5.052080e+01,1.395000e+03
-8.000000e-01,-4.317860e-08,4.737263e+01,-6.620517e-08,5.234351e+01,-1.125382e-07,5.052080e+01,1.395000e+03
-7.500000e-01,-5.907169e-08,4.737263e+01,-9.005782e-08,5.234351e+01,-1.528998e-07,5.052080e+01,1.395000e+03
-7.000000e-01,-1.000473e-07,4.737263e+01,-1.506902e-07,5.234351e+01,-2.532881e-07,5.052080e+01,1.395000e+03
-6.500000e-01,-2.209969e-07,4.737263e+01,-3.265360e-07,5.234351e+01,-5.365375e-07,5.052080e+01,1.395000e+03
-6.000000e-01,-6.397134e-07,4.737263e+01,-9.221958e-07,5.234351e+01,-1.462799e-06,5.052080e+01,1.395000e+03
-5.500000e-01,-2.354782e-06,4.737263e+01,-3.299083e-06,5.234351e+01,-4.991412e-06,5.052080e+01,1.395000e+03
-5.000000e-01,-9.434709e-06,4.737263e+01,-1.261754e-05,5.234351e+01,-1.723328e-05,5.052080e+01,1.395000e+03
-4.500000e-01,-1.898409e-05,4.737263e+01,-2.466331e-05,5.234351e+01,-2.891208e-05,5.052080e+01,1.395000e+03
-4.000000e-01,-2.236574e-05,4.737263e+01,-3.098016e-05,5.234351e+01,-3.853598e-05,5.052080e+01,1.395000e+03
-3.500000e-01,-2.314925e-05,4.737263e+01,-3.254915e-05,5.234351e+01,-4.269064e-05,5.052080e+01,1.395000e+03
-3.000000e-01,-2.335873e-05,4.737263e+01,-3.296235e-05,5.234351e+01,-4.380235e-05,5.052080e+01,1.395000e+03
-2.500000e-01,-2.342485e-05,4.737263e+01,-3.309024e-05,5.234351e+01,-4.413747e-05,5.052080e+01,1.395000e+03
-2.000000e-01,-2.344897e-05,4.737263e+01,-3.313606e-05,5.234351e+01,-4.425398e-05,5.052080e+01,1.395000e+03
-1.500000e-01,-2.345884e-05,4.737263e+01,-3.315455e-05,5.234351e+01,-4.429978e-05,5.052080e+01,1.395000e+03
-1.000000e-01,-2.346321e-05,4.737263e+01,-3.316267e-05,5.234351e+01,-4.431953e-05,5.052080e+01,1.395000e+03
-5.000000e-02,-2.346516e-05,4.737263e+01,-3.316630e-05,5.234351e+01,-4.432839e-05,5.052080e+01,1.395000e+03
0.000000e+00,-2.346583e-05,4.737263e+01,-3.316765e-05,5.234351e+01,-4.433196e-05,5.052080e+01,1.395000e+03
5.000000e-02,-2.346559e-05,4.737263e+01,-3.316744e-05,5.234351e+01,-4.433219e-05,5.052080e+01,1.395000e+03
