depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.002334e-08,4.737263e+01,-4.608719e-08,5.234351e+01,-7.749495e-08,5.052080e+01,1.926000e+03
-9.500000e-01,-3.068486e-08,4.737263e+01,-4.711547e-08,5.234351e+01,-7.933133e-08,5.052080e+01,1.926000e+03
-9.000000e-01,-3.189864e-08,4.737263e+01,-4.898996e-08,5.234351e+01,-8.264538e-08,5.052080e+01,1.926000e+03
-8.500000e-01,-3.426913e-08,4.737263e+01,-5.262250e-08,5.234351e+01,-8.899135e-08,5.052080e+01,1.926000e+03
-8.000000e-01,-3.925981e-08,4.737263e+01,-6.019888e-08,5.234351e+01,-1.020383e-07,5.052080e+01,1.926000e+03
-7.500000e-01,-5.077055e-08,4.737263e+01,-7.747442e-08,5.234351e+01,-1.312707e-07,5.052080e+01,1.926000e+03
-7.000000e-01,-8.044759e-08,4.737263e+01,-1.213881e-07,5.234351e+01,-2.039779e-07,5.052080e+01,1.926000e+03
-6.500000e-01,-1.680466e-07,4.737263e+01,-2.487462e-07,5.234351e+01,-4.091243e-07,5.052080e+01,1.926000e+03
-6.000000e-01,-4.713065e-07,4.737263e+01,-6.801592e-07,5.234351e+01,-1.079979e-06,5.052080e+01,1.926000e+03
-5.500000e-01,-1.713463e-06,4.737263e+01,-2.401645e-06,5.234351e+01,-3.635614e-06,5.052080e+01,1.926000e+03
-5.000000e-01,-6.841175e-06,4.737263e+01,-9.150635e-06,5.234351e+01,-1.250191e-05,5.052080e+01,1.926000e+03
-4.500000e-01,-1.375742e-05,4.737263e+01,-1.787491e-05,5.234351e+01,-2.096042e-05,5.052080e+01,1.926000e+03
-4.000000e-01,-1.620661e-05,4.737263e+01,-2.244996e-05,5.234351e+01,-2.793062e-05,5.052080e+01,1.926000e+03
-3.500000e-01,-1.677408e-05,4.737263e+01,-2.358632e-05,5.234351e+01,-3.093968e-05,5.052080e+01,1.926000e+03
-3.000000e-01,-1.692580e-05,4.737263e+01,-2.388558e-05,5.234351e+01,-3.174485e-05,5.052080e+01,1.926000e+03
-2.500000e-01,-1.697368e-05,4.737263e+01,-2.397820e-05,5.234351e+01,-3.198756e-05,5.052080e+01,1.926000e+03
-2.000000e-01,-1.699115e-05,4.737263e+01,-2.401139e-05,5.234351e+01,-3.207195e-05,5.052080e+01,1.926000e+03
-1.500000e-01,-1.699830e-05,4.737263e+01,-2.402478e-05,5.234351e+01,-3.210512e-05,5.052080e+01,1.926000e+03
-1.000000e-01,-1.700146e-05,4.737263e+01,-2.403066e-05,5.234351e+01,-3.211942e-05,5.052080e+01,1.926000e+03
-5.000000e-02,-1.700288e-05,4.737263e+01,-2.403329e-05,5.234351e+01,-3.212584e-05,5.052080e+01,1.926000e+03
0.000000e+00,-1.700336e-05,4.737263e+01,-2.403427e-05,5.234351e+01,-3.212842e-05,5.052080e+01,1.926000e+03
5.000000e-02,-1.700319e-05,4.737263e+01,-2.403412e-05,5.234351e+01,-3.212859e-05,5.052080e+01,1.926000e+03
1.000000e-01,-1.700226e-05,4.737263e+01,-2.403276e-05,5.234351e+01,-3.212644e-05,5.052080e+01,1.926000e+03
1.500000e-01,-1.700007e-05,4.737263e+01,-2.402944e-05,5.234351e+01,-3.212079e-05,5.052080e+01,1.926000e+03
2.000000e-01,-1.699519e-05,4.737263e+01,-2.402206e-05,5.234351e+01,-3.210818e-05,5.052080e+01,1.926000e+03
2.500000e-01,-1.698375e-05,4.737263e+01,-2.400491e-05,5.234351e+01,-3.207922e-05,5.052080e+01,1.926000e+03
3.000000e-01,-1.695412e-05,4.737263e+01,-2.396107e-05,5.234351e+01,-3.200670e-05,5.052080e+01,1.926000e+03
3.500000e-01,-1.686655e-05,4.737263e+01,-2.383377e-05,5.234351e+01,-3.180167e-05,5.052080e+01,1.926000e+03
4.000000e-01,-1.656331e-05,4.737263e+01,-2.340239e-05,5.234351e+01,-3.113089e-05,5.052080e+01,1.926000e+03
4.500000e-01,-1.532116e-05,4.737263e+01,-2.168093e-05,5.234351e+01,-2.857530e-05,5.052080e+01,1.926000e+03
5.000000e-01,-1.019346e-05,4.737263e+01,-1.493194e-05,5.234351e+01,-1.970903e-05,5.052080e+01,1.926000e+03
5.500000e-01,-3.277212e-06,4.737263e+01,-6.207664e-06,5.234351e+01,-1.125053e-05,5.052080e+01,1.926000e+03
6.000000e-01,-8.280081e-07,4.737263e+01,-1.632605e-06,5.234351e+01,-4.280303e-06,5.052080e+01,1.926000e+03
6.500000e-01,-2.605270e-07,4.737263e+01,-4.962243e-07,5.234351e+01,-1.271201e-06,5.052080e+01,1.926000e+03
7.000000e-01,-1.087839e-07,4.737263e+01,-1.969229e-07,5.234351e+01,-4.659607e-07,5.052080e+01,1.926000e+03
7.500000e-01,-6.085733e-08,4.737263e+01,-1.042386e-07,5.234351e+01,-2.231338e-07,5.052080e+01,1.926000e+03
8.000000e-01,-4.333148e-08,4.737263e+01,-7.095852e-08,5.234351e+01,-1.385829e-07,5.052080e+01,1.926000e+03
8.500000e-01,-3.609189e-08,4.737263e+01,-5.742325e-08,5.234351e+01,-1.051512e-07,5.052080e+01,1.926000e+03
9.000000e-01,-3.278707e-08,4.737263e+01,-5.132374e-08,5.234351e+01,-9.044439e-08,5.052080e+01,1.926000e+03
9.500000e-01,-3.114946e-08,4.737263e+01,-4.833337e-08,5.234351e+01,-8.337788e-08,5.052080e+01,1.926000e+03
1.000000e+00,-3.028100e-08,4.737263e+01,-4.676150e-08,5.234351e+01,-7.972515e-08,5.052080e+01,1.926000e+03
