depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.057814e-08,4.737263e+01,-4.696112e-08,5.234351e+01,-7.908878e-08,5.052080e+01,1.263000e+03
-9.500000e-01,-3.158698e-08,4.737263e+01,-4.852930e-08,5.234351e+01,-8.188934e-08,5.052080e+01,1.263000e+03
-9.000000e-01,-3.343804e-08,4.737263e+01,-5.138796e-08,5.234351e+01,-8.694340e-08,5.052080e+01,1.263000e+03
-8.500000e-01,-3.705314e-08,4.737263e+01,-5.692774e-08,5.234351e+01,-9.662127e-08,5.052080e+01,1.263000e+03
-8.000000e-01,-4.466414e-08,4.737263e+01,-6.848204e-08,5.234351e+01,-1.165185e-07,5.052080e+01,1.263000e+03
-7.500000e-01,-6.221850e-08,4.737263e+01,-9.482795e-08,5.234351e+01,-1.610990e-07,5.052080e+01,1.263000e+03
-7.000000e-01,-1.074772e-07,4.737263e+01,-1.617981e-07,5.234351e+01,-2.719806e-07,5.052080e+01,1.263000e+03
-6.500000e-01,-2.410694e-07,4.737263e+01,-3.560246e-07,5.234351e+01,-5.848374e-07,5.052080e+01,1.263000e+03
-6.000000e-01,-7.035534e-07,4.737263e+01,-1.013947e-06,5.234351e+01,-1.607919e-06,5.052080e+01,1.263000e+03
-5.500000e-01,-2.597894e-06,4.737263e+01,-3.639285e-06,5.234351e+01,-5.505369e-06,5.052080e+01,1.263000e+03
-5.000000e-01,-1.041787e-05,4.737263e+01,-1.393178e-05,5.234351e+01,-1.902685e-05,5.052080e+01,1.263000e+03
-4.500000e-01,-2.096543e-05,4.737263e+01,-2.723667e-05,5.234351e+01,-3.192641e-05,5.052080e+01,1.263000e+03
-4.000000e-01,-2.470055e-05,4.737263e+01,-3.421380e-05,5.234351e+01,-4.255627e-05,5.052080e+01,1.263000e+03
-3.500000e-01,-2.556596e-05,4.737263e+01,-3.594680e-05,5.234351e+01,-4.714521e-05,5.052080e+01,1.263000e+03
-3.000000e-01,-2.579734e-05,4.737263e+01,-3.640318e-05,5.234351e+01,-4.837313e-05,5.052080e+01,1.263000e+03
-2.500000e-01,-2.587037e-05,4.737263e+01,-3.654444e-05,5.234351e+01,-4.874328e-05,5.052080e+01,1.263000e+03
-2.000000e-01,-2.589701e-05,4.737263e+01,-3.659505e-05,5.234351e+01,-4.887196e-05,5.052080e+01,1.263000e+03
-1.500000e-01,-2.590791e-05,4.737263e+01,-3.661547e-05,5.234351e+01,-4.892255e-05,5.052080e+01,1.263000e+03
-1.000000e-01,-2.591273e-05,4.737263e+01,-3.662444e-05,5.234351e+01,-4.894436e-05,5.052080e+01,1.263000e+03
-5.000000e-02,-2.591489e-05,4.737263e+01,-3.662845e-05,5.234351e+01,-4.895415e-05,5.052080e+01,1.263000e+03
0.000000e+00,-2.591563e-05,4.737263e+01,-3.662995e-05,5.234351e+01,-4.895809e-05,5.052080e+01,1.263000e+03
5.000000e-02,-2.591537e-05,4.737263e+01,-3.662971e-05,5.234351e+01,-4.895835e-05,5.052080e+01,1.263000e+03
1.000000e-01,-2.591395e-05,4.737263e+01,-3.662763e-05,5.234351e+01,-4.895506e-05,5.052080e+01,1.263000e+03
1.500000e-01,-2.591060e-05,4.737263e+01,-3.662257e-05,5.234351e+01,-4.894645e-05,5.052080e+01,1.263000e+03
2.000000e-01,-2.590316e-05,4.737263e+01,-3.661131e-05,5.234351e+01,-4.892722e-05,5.052080e+01,1.263000e+03
2.500000e-01,-2.588572e-05,4.737263e+01,-3.658516e-05,5.234351e+01,-4.888306e-05,5.052080e+01,1.263000e+03
3.000000e-01,-2.584053e-05,4.737263e+01,-3.651831e-05,5.234351e+01,-4.877246e-05,5.052080e+01,1.263000e+03
3.500000e-01,-2.570698e-05,4.737263e+01,-3.632417e-05,5.234351e+01,-4.845978e-05,5.052080e+01,1.263000e+03
4.000000e-01,-2.524453e-05,4.737263e+01,-3.566630e-05,5.234351e+01,-4.743682e-05,5.052080e+01,1.263000e+03
4.500000e-01,-2.335020e-05,4.737263e+01,-3.304099e-05,5.234351e+01,-4.353944e-05,5.052080e+01,1.263000e+03
5.000000e-01,-1.553024e-05,4.737263e+01,-2.274852e-05,5.234351e+01,-3.001799e-05,5.052080e+01,1.263000e+03
5.500000e-01,-4.982676e-06,4.737263e+01,-9.443622e-06,5.234351e+01,-1.711843e-05,5.052080e+01,1.263000e+03
6.000000e-01,-1.247538e-06,4.737263e+01,-2.466467e-06,5.234351e+01,-6.488546e-06,5.052080e+01,1.263000e+03
6.500000e-01,-3.821058e-07,4.737263e+01,-7.334390e-07,5.234351e+01,-1.899540e-06,5.052080e+01,1.263000e+03
7.000000e-01,-1.506913e-07,4.737263e+01,-2.769919e-07,5.234351e+01,-6.715153e-07,5.052080e+01,1.263000e+03
7.500000e-01,-7.760125e-08,4.737263e+01,-1.356445e-07,5.234351e+01,-3.011941e-07,5.052080e+01,1.263000e+03
8.000000e-01,-5.087360e-08,4.737263e+01,-8.489094e-08,5.234351e+01,-1.722504e-07,5.052080e+01,1.263000e+03
8.500000e-01,-3.983293e-08,4.737263e+01,-6.424909e-08,5.234351e+01,-1.212658e-07,5.052080e+01,1.263000e+03
9.000000e-01,-3.479294e-08,4.737263e+01,-5.494709e-08,5.234351e+01,-9.883721e-08,5.052080e+01,1.263000e+03
9.500000e-01,-3.229551e-08,4.737263e+01,-5.038664e-08,5.234351e+01,-8.806049e-08,5.052080e+01,1.263000e+03
1.000000e+00,-3.097107e-08,4.737263e+01,-4.798948e-08,5.234351e+01,-8.248994e-08,5.052080e+01,1.263000e+03
