depth,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Resistivity
-1.000000e+00,-3.019492e-08,4.737263e+01,-4.635746e-08,5.234351e+01,-7.798785e-08,5.052080e+01,1.657000e+03
-9.500000e-01,-3.096385e-08,4.737263e+01,-4.755271e-08,5.234351e+01,-8.012241e-08,5.052080e+01,1.657000e+03
-9.000000e-01,-3.237471e-08,4.737263e+01,-4.973156e-08,5.234351e+01,-8.397457e-08,5.052080e+01,1.657000e+03
-8.500000e-01,-3.513011e-08,4.737263e+01,-5.395392e-08,5.234351e+01,-9.135096e-08,5.052080e+01,1.657000e+03
-8.000000e-01,-4.093114e-08,4.737263e+01,-6.276051e-08,5.234351e+01,-1.065164e-07,5.052080e+01,1.657000e+03
-7.500000e-01,-5.431091e-08,4.737263e+01,-8.284112e-08,5.234351e+01,-1.404953e-07,5.052080e+01,1.657000e+03
-7.000000e-01,-8.880670e-08,4.737263e+01,-1.338852e-07,5.234351e+01,-2.250083e-07,5.052080e+01,1.657000e+03
-6.500000e-01,-1.906294e-07,4.737263e+01,-2.819228e-07,5.234351e+01,-4.634648e-07,5.052080e+01,1.657000e+03
-6.000000e-01,-5.431305e-07,4.737263e+01,-7.833855e-07,5.234351e+01,-1.243248e-06,5.052080e+01,1.657000e+03
-5.500000e-01,-1.986979e-06,4.737263e+01,-2.784394e-06,5.234351e+01,-4.213849e-06,5.052080e+01,1.657000e+03
-5.000000e-01,-7.947293e-06,4.737263e+01,-1.062924e-05,5.234351e+01,-1.451980e-05,5.052080e+01,1.657000e+03
-4.500000e-01,-1.598654e-05,4.737263e+01,-2.077010e-05,5.234351e+01,-2.435173e-05,5.052080e+01,1.657000e+03
-4.000000e-01,-1.883342e-05,4.737263e+01,-2.608801e-05,5.234351e+01,-3.245370e-05,5.052080e+01,1.657000e+03
-3.500000e-01,-1.949303e-05,4.737263e+01,-2.740888e-05,5.234351e+01,-3.595135e-05,5.052080e+01,1.657000e+03
-3.000000e-01,-1.966938e-05,4.737263e+01,-2.775674e-05,5.234351e+01,-3.688726e-05,5.052080e+01,1.657000e+03
-2.500000e-01,-1.972505e-05,4.737263e+01,-2.786440e-05,5.234351e+01,-3.716939e-05,5.052080e+01,1.657000e+03
-2.000000e-01,-1.974535e-05,4.737263e+01,-2.790298e-05,5.234351e+01,-3.726747e-05,5.052080e+01,1.657000e+03
-1.500000e-01,-1.975366e-05,4.737263e+01,-2.791854e-05,5.234351e+01,-3.730603e-05,5.052080e+01,1.657000e+03
-1.000000e-01,-1.975734e-05,4.737263e+01,-2.792537e-05,5.234351e+01,-3.732265e-05,5.052080e+01,1.657000e+03
-5.000000e-02,-1.975898e-05,4.737263e+01,-2.792844e-05,5.234351e+01,-3.733011e-05,5.052080e+01,1.657000e+03
0.000000e+00,-1.975955e-05,4.737263e+01,-2.792957e-05,5.234351e+01,-3.733311e-05,5.052080e+01,1.657000e+03
5.000000e-02,-1.975934e-05,4.737263e+01,-2.792940e-05,5.234351e+01,-3.733331e-05,5.052080e+01,1.657000e+03
1.000000e-01,-1.975826e-05,4.737263e+01,-2.792781e-05,5.234351e+01,-3.733081e-05,5.052080e+01,1.657000e+03
1.500000e-01,-1.975571e-05,4.737263e+01,-2.792395e-05,5.234351e+01,-3.732424e-05,5.052080e+01,1.657000e+03
2.000000e-01,-1.975004e-05,4.737263e+01,-2.791537e-05,5.234351e+01,-3.730958e-05,5.052080e+01,1.657000e+03
2.500000e-01,-1.973674e-05,4.737263e+01,-2.789544e-05,5.234351e+01,-3.727593e-05,5.052080e+01,1.657000e+03
3.000000e-01,-1.970230e-05,4.737263e+01,-2.784449e-05,5.234351e+01,-3.719163e-05,5.052080e+01,1.657000e+03
3.500000e-01,-1.960051e-05,4.737263e+01,-2.769651e-05,5.234351e+01,-3.695331e-05,5.052080e+01,1.657000e+03
4.000000e-01,-1.924804e-05,4.737263e+01,-2.719509e-05,5.234351e+01,-3.617361e-05,5.052080e+01,1.657000e+03
4.500000e-01,-1.780420e-05,4.737263e+01,-2.519411e-05,5.234351e+01,-3.320307e-05,5.052080e+01,1.657000e+03
5.000000e-01,-1.184389e-05,4.737263e+01,-1.734927e-05,5.234351e+01,-2.289715e-05,5.052080e+01,1.657000e+03
5.500000e-01,-3.804638e-06,4.737263e+01,-7.208407e-06,5.234351e+01,-1.306522e-05,5.052080e+01,1.657000e+03
6.000000e-01,-9.577507e-07,4.737263e+01,-1.890483e-06,5.234351e+01,-4.963217e-06,5.052080e+01,1.657000e+03
6.500000e-01,-2.981261e-07,4.737263e+01,-5.695846e-07,5.234351e+01,-1.465519e-06,5.052080e+01,1.657000e+03
7.000000e-01,-1.217441e-07,4.737263e+01,-2.216848e-07,5.234351e+01,-5.295299e-07,5.052080e+01,1.657000e+03
7.500000e-01,-6.603550e-08,4.737263e+01,-1.139511e-07,5.234351e+01,-2.472745e-07,5.052080e+01,1.657000e+03
8.000000e-01,-4.566394e-08,4.737263e+01,-7.526722e-08,5.234351e+01,-1.489948e-07,5.052080e+01,1.657000e+03
8.500000e-01,-3.724884e-08,4.737263e+01,-5.953419e-08,5.234351e+01,-1.101348e-07,5.052080e+01,1.657000e+03
9.000000e-01,-3.340740e-08,4.737263e+01,-5.244429e-08,5.234351e+01,-9.303993e-08,5.052080e+01,1.657000e+03
9.500000e-01,-3.150388e-08,4.737263e+01,-4.896836e-08,5.234351e+01,-8.482601e-08,5.052080e+01,1.657000e+03
1.000000e+00,-3.049441e-08,4.737263e+01,-4.714126e-08,5.234351e+01,-8.058018e-08,5.052080e+01,1.657000e+03
